Time,Temperature,Dew Point,Humidity,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar
12:04 AM 2022-08-03,78.9 °F,61.0 °F,54 %,East,0.5 mph,0.9 mph,29.91 in,0.00 in,0.00 in,0,0 w/m² 
12:09 AM 2022-08-03,78.2 °F,61.5 °F,56 %,East,0.0 mph,0.1 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
12:14 AM 2022-08-03,77.9 °F,60.6 °F,55 %,East,0.5 mph,0.9 mph,29.91 in,0.00 in,0.00 in,0,0 w/m² 
12:19 AM 2022-08-03,78.2 °F,60.5 °F,55 %,East,0.8 mph,1.0 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
12:24 AM 2022-08-03,78.4 °F,60.6 °F,54 %,East,0.8 mph,1.3 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
12:29 AM 2022-08-03,79.0 °F,60.7 °F,54 %,ENE,0.6 mph,1.1 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
12:34 AM 2022-08-03,79.2 °F,60.7 °F,53 %,ENE,0.7 mph,1.2 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
12:39 AM 2022-08-03,79.0 °F,61.2 °F,54 %,NE,0.6 mph,0.9 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
12:44 AM 2022-08-03,78.5 °F,61.1 °F,55 %,NE,0.9 mph,1.3 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
12:49 AM 2022-08-03,78.4 °F,61.0 °F,55 %,NE,0.8 mph,1.2 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
12:54 AM 2022-08-03,78.4 °F,61.1 °F,55 %,NE,1.2 mph,1.6 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
12:59 AM 2022-08-03,78.1 °F,61.3 °F,56 %,NE,0.7 mph,1.0 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
1:04 AM 2022-08-03,77.7 °F,61.3 °F,57 %,NE,0.7 mph,1.1 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
1:09 AM 2022-08-03,77.7 °F,61.0 °F,56 %,NE,0.9 mph,1.3 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
1:14 AM 2022-08-03,78.0 °F,61.1 °F,56 %,NE,0.8 mph,1.1 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
1:19 AM 2022-08-03,78.1 °F,61.2 °F,56 %,NNE,1.4 mph,1.9 mph,29.92 in,0.00 in,0.00 in,0,0 w/m² 
1:24 AM 2022-08-03,78.2 °F,60.9 °F,55 %,NE,1.1 mph,1.6 mph,29.93 in,0.00 in,0.00 in,0,0 w/m² 
